
[01/09/2019 6:30:40 PM] : The underlying provider failed on Open..    [UserManager]     [IsValidateUser]

[01/09/2019 6:38:14 PM] : Could not find stored procedure 'GetFloorReturnMaterial_WithoutissueNo'..    [FloorRetMaterialManager]     [GetFloorReturnMaterial_withoutissueno]

[01/09/2019 6:39:20 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:39:21 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:39:48 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:40:50 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:44:02 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:44:10 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:46:42 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:46:52 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:47:35 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:47:36 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:47:44 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:48:27 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:48:42 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:49:14 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:51:21 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:51:21 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:51:21 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:51:55 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:56:37 PM] : An error occurred while executing the command definition. See the inner exception for details..    [PurchaseOrderManager]     [Get]

[01/09/2019 6:56:40 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 6:57:21 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 6:59:05 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 6:59:57 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 6:59:59 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 7:00:08 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 7:00:10 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 7:00:11 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 7:01:51 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 7:02:22 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 7:06:36 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 7:06:43 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 7:07:39 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 7:07:43 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]

[01/09/2019 7:08:52 PM] : The 'ISPO_cancelled' property on 'PurchaseOrder' could not be set to a 'null' value. You must set this property to a non-null value of type 'System.Boolean'. .    [PurchaseOrderManager]     [Get]
