
[04/09/2024 14:28:04] : Object reference not set to an instance of an object..    [CustAddressMangers]     [updateactive]

[04/09/2024 17:11:18] : Object reference not set to an instance of an object..    [SalesorderManager]     [Post]

[04/09/2024 19:49:13] : The entity type BuyerMaster is not part of the model for the current context..    [BuyerManager]     [Get]

[04/09/2024 19:53:44] : An error occurred while executing the command definition. See the inner exception for details..    [Repository`1]     [Get]

[04/09/2024 19:57:38] : An error occurred while executing the command definition. See the inner exception for details..    [Repository`1]     [Get]

[04/09/2024 19:58:46] : An error occurred while executing the command definition. See the inner exception for details..    [Repository`1]     [Get]

[04/09/2024 19:58:50] : An error occurred while executing the command definition. See the inner exception for details..    [Repository`1]     [Get]

[04/09/2024 19:59:21] : An error occurred while executing the command definition. See the inner exception for details..    [Repository`1]     [Get]

[04/09/2024 20:06:42] : The entity type BuyerMaster is not part of the model for the current context..    [BuyerManager]     [Get]

[04/09/2024 20:19:59] : The entity type BuyerMaster is not part of the model for the current context..    [BuyerManager]     [Get]

[04/09/2024 20:27:01] : The entity type SupplierMaster is not part of the model for the current context..    [SupplierMasterManager]     [Get]

[04/09/2024 20:27:45] : The entity type BuyerMaster is not part of the model for the current context..    [BuyerManager]     [Get]

[04/09/2024 20:39:51] : 42703: column b.buyerfullname does not exist.    [SalesorderManager]     [GetsalesorderList]

[04/09/2024 20:39:51] : 42703: column b.buyerfullname does not exist.    [SalesorderManager]     [GetsalesorderList]

[04/09/2024 20:39:52] : 42703: column b.buyerfullname does not exist.    [SalesorderManager]     [GetsalesorderList]

[04/09/2024 20:39:53] : 42703: column b.buyerfullname does not exist.    [SalesorderManager]     [GetsalesorderList]

[04/09/2024 20:40:00] : 42703: column b.buyerfullname does not exist.    [SalesorderManager]     [GetsalesorderList]

[04/09/2024 20:53:03] : The entity type SupplierMaster is not part of the model for the current context..    [SupplierMasterManager]     [Get]
