
[18/10/2024 16:20:17] : An error occurred while updating the entries. See the inner exception for details..    [CurrencyManager]     [POST]

[18/10/2024 17:23:24] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:24] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:24] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:24] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:31] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:31] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:31] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:31] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:32] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:32] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:32] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:32] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:33] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:33] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:33] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:33] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:33] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:33] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:33] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:33] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:34] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:34] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:34] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:34] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:35] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:35] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:35] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:35] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:35] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:35] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:35] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:36] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:36] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:36] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:36] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:36] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:37] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:37] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:37] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:37] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:37] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:37] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:37] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:37] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:38] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:38] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:38] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:38] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:39] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:39] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:39] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:39] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:39] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:39] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:39] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:39] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:40] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:40] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:40] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:40] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:43] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:43] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:43] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:43] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:44] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:44] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:44] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:44] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

[18/10/2024 17:23:44] : 42P01: relation "tbl_materialnamemaster" does not exist.    [SalesorderManager]     [GetmrpsubassemblyList]

