
[24-10-2019 14:37:21] : The cast to value type 'System.DateTime' failed because the materialized value is null. Either the result type's generic parameter or the query must use a nullable type..    [JobLeather_leatherManager]     [GetJob_LetherCode]

[24-10-2019 15:15:33] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:16:02] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:23:36] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:24:48] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:25:42] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:26:02] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:27:25] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:31:47] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:31:49] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:32:35] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:32:41] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:33:11] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:33:59] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:34:01] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:34:36] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:35:25] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:36:30] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

